사업장명,소재지전체주소,도로명전체주소,도로명우편번호,소재지우편번호,소재지전화번호,위도,경도
이레약국,대구광역시 북구 복현동 183-3번지,대구광역시 북구 복현로 88 (복현동),41522.0,128.622319289253,35.899334570361
병아리약국,세종특별자치시 보람동 744 스타힐타워Ⅱ 105호,세종특별자치시 한누리대로 2129, 스타힐타워Ⅱ 105호 (보람동),127.289704366888,36.4785885710999
별약국,서울특별시 중구 신당동 372-31,서울특별시 중구 동호로 163, 3층 302호 (신당동),127.011744744734,37.5529849738603
논산온누리약국,충청남도 논산시 화지동 91-9번지,충청남도 논산시 중앙로 494 (화지동),32967.0,127.083205610293,36.2067979395905
보룡약국,충청남도 천안시 서북구 두정동 160번지,충청남도 천안시 서북구 봉정로 362 (두정동),31103.0,127.145818267649,36.8343136907796
삼성약국,충청남도 천안시 서북구 백석동 1009번지,충청남도 천안시 서북구 한들3로 83, 103,127.123239781146,36.8310802935416
성정동물약국,충청남도 천안시 서북구 성정동 627-12번지,충청남도 천안시 서북구 서부3길 67 (성정동),31134.0,127.140552492046,36.8245030961643
코끼리약국,충청남도 천안시 서북구 불당동 734번지 그랜드프라자 1층,충청남도 천안시 서북구 불당17길 27, 1층 (불당동,127.110831568029,36.8097445989655
튼튼약국,충청남도 천안시 서북구 성거읍 송남리 12-1번지,충청남도 천안시 서북구 성거읍 성거길 89,31046.0,127.201069122363,36.8733907051211
참조은약국,충청남도 천안시 서북구 쌍용동 394-8번지,충청남도 천안시 서북구 충무로 172 (쌍용동),31175.0,127.126481002622,36.7939775490572
일등동물약국,충청남도 보령시 웅천읍 대창리 720-3번지,충청남도 보령시 웅천읍 장터중앙길 150,33520.0,126.59933510523,36.2340208568851
대영동물약국,충청남도 보령시 동대동 1929번지,충청남도 보령시 주공로 12 (동대동),33471.0,undefined,undefined
팜플러스약국,충청남도 보령시 죽정동 669-5번지,충청남도 보령시 지장골길 69 (죽정동),33443.0,126.602730869233,36.3588620919655
대우약국,충청남도 논산시 화지동 45번지,충청남도 논산시 중앙로492번길 19 (화지동),32967.0,undefined,undefined
연산하나로약국,충청남도 논산시 연산면 청동리 608번지,충청남도 논산시 연산면 청동로 18,32913.0,127.195603043032,36.2081487775617
옵티마강경제일약국,충청남도 논산시 강경읍 대흥리 23-5번지,충청남도 논산시 강경읍 계백로 154,32939.0,127.017083836707,36.1576564577878
중앙온누리약국,충청남도 논산시 취암동 1045-1번지,충청남도 논산시 계백로 1000 (취암동),32974.0,127.088260517028,36.2030965943951
동대문약국,충청남도 천안시 서북구 두정동 943번지,충청남도 천안시 서북구 원두정3길 37 (두정동, 화인메트로병원),127.136928239317,36.8334920892235
마더스약국,충청남도 천안시 서북구 쌍용동 191번지,충청남도 천안시 서북구 충무로 187, 1층 (쌍용동,127.127259625375,36.7960306252471
두정동물약국,충청남도 천안시 서북구 두정동 1063번지,충청남도 천안시 서북구 부성7길 3, 1층 (두정동,127.134071530503,36.8372560236661
형수당약국,충청남도 금산군 금산읍 상리 124-2번지,충청남도 금산군 금산읍 금산로 1442-1,32740.0,127.488502563963,36.1024458243062
마전약국,충청남도 금산군 추부면 마전리 420-24번지,충청남도 금산군 추부면 하마전로 18,32714.0,127.468647886325,36.1902134787622
흥일약국,충청남도 금산군 추부면 마전리 414-19번지,충청남도 금산군 추부면 하마전로 13,32714.0,127.468207773378,36.1902936050675
천안동물약국,충청남도 천안시 서북구 백석동 875번지,충청남도 천안시 서북구 백석4길 3 (백석동),31158.0,127.124605780224,36.8225665519567
일등온누리약국,충청남도 천안시 서북구 성거읍 저리 53-2번지 삼일아파트 상가동 105호,충청남도 천안시 서북구 성거읍 성거길 103, 상가동 105호 (삼일아파트),127.200906190808,36.8747318174354
샬롬약국,충청남도 천안시 동남구 북면 연춘리 112-2번지 샬롬약국,충청남도 천안시 동남구 북면 충절로 1304, 샬롬약국,127.251956840724,36.7696906465644
목천약국,충청남도 천안시 동남구 목천읍 신계리 166-21번지,충청남도 천안시 동남구 목천읍 충절로 921,31233.0,127.211996278966,36.7750446820417
종합 약국,충청남도 태안군 태안읍 동문리 481-18번지,충청남도 태안군 태안읍 중앙로 83,32141.0,126.298299461063,36.7536497544746
